filename,text
i_d06-086-10-01.png,would
i_b04-103-03-09.png,and
i_a03-034-03-05.png,came
i_a02-072-03-02.png,be
i_e02-086-08-07.png,can
i_c03-021a-03-00.png,strong
i_a02-004-00-04.png,personal
i_d01-049-01-08.png,his
i_c04-144-02-05.png,will
i_a06-070-06-07.png,the
i_b01-033-02-05.png,WEST
i_d06-104-05-05.png,so
i_a03-027-00-05.png,to
i_a04-019-05-11.png,full
i_c04-105-06-06.png,of
i_c04-089-04-07.png,the
i_d01-019-04-08.png,not
i_d04-131-02-09.png,was
i_c03-094d-09-08.png,lavish
i_b06-056-02-05.png,next
i_b06-012-03-05.png,which
i_a03-073-10-05.png,would
i_d01-060-09-00.png,is
i_a02-037-07-01.png,an
i_c03-003d-03-04.png,marriage
i_c04-122-02-11.png,PRODUCER
i_b05-098-02-06.png,on
i_a01-091u-07-04.png,It
i_b03-025-00-03.png,current
i_b03-087-03-07.png,all
i_a04-092-10-01.png,the
i_d01-060-08-04.png,of
i_a05-094-02-02.png,match
i_d04-111-05-06.png,Matzos
i_e04-091-00-06.png,and
i_a05-013-02-03.png,policy
i_b03-092-02-06.png,these
i_a06-008-06-00.png,was
i_a03-023-07-04.png,the
i_c02-007-02-02.png,An
i_b01-079-03-03.png,the
i_b04-026-00-07.png,to
i_e04-086-03-05.png,long
i_d06-015-02-02.png,to
i_b04-107-07-05.png,Overnight
i_a05-000-05-06.png,Services
i_e01-032-06-05.png,give
i_a06-075-04-01.png,negotiations
i_a01-030-02-08.png,of
i_c06-000-01-01.png,tranquilly
i_c04-089-06-01.png,in
i_c03-003c-08-00.png,create
i_b04-107-05-02.png,Suddenly
i_a06-152-05-01.png,faster
i_a03-023-05-01.png,useful
i_b04-004-00-06.png,who
i_a02-042-06-05.png,demonstrated
i_b05-038-01-02.png,manufacturing
i_a01-122u-05-00.png,the
i_d06-086-01-10.png,work
i_d01-016-01-08.png,due
i_a05-013-07-02.png,of
i_b01-004-04-07.png,on
i_b05-067-00-04.png,certain
i_a04-103-07-04.png,agreements
i_c03-087c-03-08.png,unredee-
i_a01-038x-00-00.png,Mr.
i_e04-119-04-03.png,boxes
i_e07-003-01-07.png,both
i_a06-064-06-00.png,of
i_b01-094-07-05.png,gets
i_d07-085-07-04.png,by
i_c03-016b-01-01.png,in
i_a02-000-03-06.png,way
i_a02-004-03-04.png,leadership
i_a03-034-04-02.png,years
i_a01-053u-04-04.png,of
i_d06-000-00-01.png,the
i_a01-082u-06-03.png,to
i_d04-053-03-03.png,people
i_b01-009-03-02.png,it
i_a01-053u-05-03.png,Weaver
i_d01-019-04-12.png,made
i_c03-021a-09-01.png,are
i_a02-020-04-04.png,trouble
i_b06-087-00-02.png,only
i_c03-094c-04-00.png,Richards
i_d07-102-06-08.png,which
i_a01-014u-05-03.png,chief
i_c03-000b-02-08.png,by
i_b06-110-04-07.png,suitable
i_c02-026-03-01.png,every
i_a04-081-05-03.png,concentration
i_c04-089-02-14.png,Just
i_d04-125-00-07.png,our
i_e04-058-00-01.png,you
i_b06-082-03-04.png,weapons
i_a01-049x-03-07.png,affilia-
i_d04-050-02-00.png,selfish
i_b06-053-01-00.png,if
i_b06-087-04-06.png,by
i_d04-037-04-01.png,Him
i_d06-067-08-03.png,railway
i_b01-089-08-03.png,port
i_b06-075-03-03.png,established
i_c06-080-01-03.png,not
i_c06-100-04-08.png,incidentally
i_c03-081b-02-07.png,in
i_b05-042-07-01.png,of
i_c02-007-03-06.png,Berlin
i_a05-094-05-06.png,Not
i_c03-021c-02-04.png,moved
i_a03-040-02-05.png,in
i_c03-007a-02-06.png,The
i_a01-068u-07-03.png,them
i_d01-123-06-04.png,have
i_e04-058-05-04.png,Fir
i_a02-020-00-00.png,Some
i_d01-060-00-04.png,difference
i_e04-068-03-08.png,outside
i_e02-025-02-05.png,upper
i_a06-128-04-02.png,20
i_e04-095-05-02.png,horizontally
i_a04-047-07-04.png,most
i_b04-096-00-02.png,Labour
i_a01-102u-04-06.png,which
i_d06-041-00-05.png,conveys
i_c04-017-02-08.png,into
i_c03-096f-05-06.png,is
i_b05-074-00-05.png,Treaty
i_a06-095-06-04.png,has
i_d04-111-05-04.png,Feast
i_a06-064-04-07.png,his
i_e04-052-01-07.png,bend
i_d06-046-08-04.png,tiredness
i_d04-053-06-08.png,heed
i_c04-013-00-03.png,five
i_b01-127-07-07.png,contrary
i_e04-124-02-00.png,with
i_a04-039-08-03.png,an
i_a02-008-05-04.png,draws
i_b04-154-07-02.png,him
i_c02-035-04-08.png,ocean
i_a03-059-07-00.png,ranging
i_a03-017-04-08.png,1951
i_a01-102-10-02.png,of
i_b01-057-00-03.png,on
i_c03-096e-06-01.png,odd
i_e07-061-08-05.png,both
